abscissa	curvature	dir_mid_line	x_mid_line	y_mid_line	elevation	slope	banking	torsion	upsilon	width_no_kerbs_L	width_no_kerbs_R	width_kerbs_L	width_kerbs_R	width_kerbsMod_and_Constraint_MLT_L	width_kerbsMod_and_Constraint_MLT_R
0	0.0420741465705699	-1.69303842494373	863922.293881036	4598858.63137542	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
0.100503970553117	0.0362576740168775	-1.68910209544888	863922.281827019	4598858.53159699	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
0.201007941106234	0.0304412014631852	-1.68575034454029	863922.270136676	4598858.43177527	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
0.301511911659351	0.0246247289094928	-1.68298317221797	863922.258751787	4598858.33191825	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
0.402015882212469	0.0188082563558004	-1.6808005784819	863922.247614065	4598858.23203334	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
0.502519852765586	0.0129917838021081	-1.67920256333209	863922.236665175	4598858.13212754	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
0.603023823318703	0.00717531124841568	-1.67818912676854	863922.225846743	4598858.03220753	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
0.70352779387182	0.00135883869472331	-1.67776026879125	863922.21510037	4598857.93227974	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
0.804031764424937	-0.00445763385896907	-1.67791598940022	863922.204367645	4598857.83235048	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
0.904535734978055	-0.0102741064126614	-1.67865628859545	863922.193590151	4598857.73242604	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.00503970553117	-0.0160905789663538	-1.67998116637693	863922.182709483	4598857.63251279	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.10554367608429	-0.0219070515200462	-1.68189062274468	863922.171667254	4598857.53261728	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.20604764663741	-0.0277235240737386	-1.68438465769869	863922.160405108	4598857.43274632	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.30655161719052	-0.0335399966274309	-1.68746327123895	863922.148864735	4598857.33290715	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.40705558774364	-0.0360120844901145	-1.6910676821648	863922.136988566	4598857.23310739	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.50755955829676	-0.0322665903952163	-1.69449882112984	863922.124755657	4598857.13335071	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.60806352884987	-0.028521096300318	-1.69755352306666	863922.112199308	4598857.03363422	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.70856749940299	-0.0247756022054198	-1.70023178797526	863922.099357175	4598856.93395413	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.80907146995611	-0.0210301081105216	-1.70253361585564	863922.086266872	4598856.83430631	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.90957544050923	-0.0172846140156233	-1.70445900670779	863922.072965981	4598856.73468637	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.01007941106234	-0.0135391199207251	-1.70600796053173	863922.059492053	4598856.63508969	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.11058338161546	-0.00979362582582684	-1.70718047732745	863922.045882612	4598856.53551143	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.21108735216858	-0.0060481317309286	-1.70797655709495	863922.032175163	4598856.43594661	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.3115913227217	-0.00230263763603034	-1.70839619983422	863922.018407194	4598856.33639014	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.41209529327481	0.00144285645886788	-1.70843940554528	863922.004616185	4598856.23683685	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.51259926382793	0.00518835055376612	-1.70810617422811	863921.990839614	4598856.13728157	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.61310323438105	0.00893384464866437	-1.70739650588273	863921.977114957	4598856.03771912	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.71360720493416	0.0126793387435626	-1.70631040050912	863921.963479702	4598855.93814439	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.81411117548728	0.0157640483181416	-1.70485271571513	863921.949971326	4598855.83855237	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.9146151460404	0.0149925382073063	-1.70330713618189	863921.936616066	4598855.73893971	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
3.01511911659352	0.014221028096471	-1.70183909647812	863921.923410918	4598855.63930703	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
3.11562308714663	0.0134495179856357	-1.70044859660381	863921.910348185	4598855.53965558	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
3.21612705769975	0.0126780078748004	-1.69913563655896	863921.897420166	4598855.43998656	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
3.31663102825287	0.0119064977639652	-1.69790021634357	863921.884619155	4598855.34030116	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
3.41713499880598	0.0111349876531299	-1.69674233595764	863921.871937441	4598855.2406005	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
3.5176389693591	0.0103634775422946	-1.69566199540117	863921.859367311	4598855.14088571	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
3.61814293991222	0.00959196743145931	-1.69465919467416	863921.846901048	4598855.04115788	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
3.71864691046534	0.00882045732062403	-1.69373393377661	863921.834530931	4598854.94141808	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
