# Description
# The file describes the Fiorano circuit starting from Google Earth kml files.
# Distance (widths) from reference line of left/right borders
#  both with and witout kerbs are included.
# Generation date:       18-Jan-2024
# Names of source data files:
# - Barcellona_no_kerbs.kml
# - Barcellona_no_kerbs.kml
# Finish line origin local coordinates (ENU)
#! x0     =   0.00000000
#! y0     =   0.00000000
#! z0     =   0.00000000
#! theta0 =   1.0471975511966
# Finish line origin geodesic coordinates
#! FinishLineLatitude  =        41.57002161792151
#! FinishLineLongitude =        2.261219488424878
#! FinishLineAltitude  =   -0.0003639594013644755
abscissa	curvature	dir_mid_line	x_mid_line	y_mid_line	elevation	slope	banking	torsion	upsilon	width_no_kerbs_L	width_no_kerbs_R	width_kerbs_L	width_kerbs_R	width_kerbsMod_and_Constraint_MLT_L	width_kerbsMod_and_Constraint_MLT_R
0	0.0298033352818078	-2.18956035817772	0	0	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
0.239388407261693	0.0261711657690315	-2.18286053485081	-0.138183718840582	-0.1954785281173	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
0.478776814523386	0.0225389962562553	-2.17703021079846	-0.275140108558372	-0.391819034514832	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
0.71816522178508	0.018906826743479	-2.17206938602069	-0.411035193186614	-0.588895714818258	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
0.957553629046773	0.0152746572307028	-2.16797806051748	-0.546036949345491	-0.786585510627808	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.19694203630847	0.0116424877179265	-2.16475623428883	-0.680314972434642	-0.984767680399027	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.43633044357016	0.0080103182051503	-2.16240390733476	-0.814040152837414	-1.18332336319869	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.67571885083185	0.00258776251586883	-2.16107833813655	-0.947392010021122	-1.38213001055118	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.91510725809355	-0.00348419715130655	-2.16118563616635	-1.08062105974423	-1.58101899872805	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.15449566535524	-0.00955615681848194	-2.16274649094982	-1.21401593824002	-1.77979677444671	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.39388407261693	-0.0156281164856573	-2.16576090248698	-1.34786516083286	-1.97826881676097	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.63327247987863	-0.0217000761528327	-2.17022887077783	-1.48245590559036	-2.17623862621533	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.87266088714032	-0.0277720358200081	-2.17615039582235	-1.6180731474009	-2.37350647872641	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
3.11204929440201	-0.032628413485155	-2.18345741912774	-1.75499668910656	-2.56986965454976	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
3.35143770166371	-0.0361016541933607	-2.19168400984401	-1.89344667090262	-2.76515941061128	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
3.5908261089254	-0.0395748949015663	-2.20074205412146	-2.03357913349092	-2.95924524363298	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
3.83021451618709	-0.043048135609772	-2.21063155196008	-2.17554391156925	-3.15199467736006	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
4.06960292344879	-0.0465213763179777	-2.22135250335988	-2.31948733982045	-3.34327078680313	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
4.30899133071048	-0.0499946170261834	-2.23290490832085	-2.46555186555776	-3.5329318699548	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
4.54837973797217	-0.0527576339922631	-2.24527169957148	-2.61387542853427	-3.7208313071555	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
4.78776814523386	-0.0526933507018797	-2.25789357120654	-2.76454674587055	-3.90685335655815	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
