abscissa	curvature	dir_mid_line	x_mid_line	y_mid_line	elevation	slope	banking	torsion	upsilon	width_no_kerbs_L	width_no_kerbs_R	width_kerbs_L	width_kerbs_R	width_kerbsMod_and_Constraint_MLT_L	width_kerbsMod_and_Constraint_MLT_R
0	-0.00931321411808148	1.6657920863073	-232.480679675818	50.5387735861982	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
0.169979704184229	-0.00918072905171939	1.66422028881269	-232.496669443014	50.7079995334731	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
0.339959408368458	-0.00904824398535729	1.66267101109048	-232.512395107438	50.8772502278106	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
0.509939112552687	-0.00891575891899519	1.66114425314066	-232.527860442823	51.0465249087983	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
0.679918816736915	-0.00878327385263309	1.65964001496322	-232.543069225138	51.2158228335549	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
0.849898520921144	-0.008650788786271	1.65815829655818	-232.558025232513	51.3851432764782	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.01987822510537	-0.00913541970692183	1.65667226605775	-232.572731470284	51.5544855958598	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.1898579292896	-0.0102092191840451	1.65502816805963	-232.587174054926	51.7238506013177	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.35983763347383	-0.0112830186611683	1.65320154594404	-232.601322708331	51.8932404103573	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.52981733765806	-0.0123568181382916	1.65119239971097	-232.615146465475	52.0626570383851	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.69979704184229	-0.0134306176154148	1.64900072936042	-232.628614347868	52.2321023228034	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
1.86977674602652	-0.0145044170925381	1.64662653489241	-232.641695362915	52.4015779060197	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.03975645021075	-0.015757530194648	1.64406022849118	-232.654358162628	52.5710852436044	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.20973615439498	-0.0171163487788923	1.64126628237953	-232.666566828326	52.7406258862804	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.3797158585792	-0.0184751673631366	1.63824136468688	-232.678282175438	52.9102013221288	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.54969556276343	-0.019833985947381	1.63498547541325	-232.689464929691	53.0798127023943	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.71967526694766	-0.0211928045316253	1.63149861455862	-232.700075797208	53.2494608089235	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
2.88965497113189	-0.0225516231158696	1.62778078212301	-232.710075465218	53.4191460268755	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
3.05963467531612	-0.00704720300725988	1.62490120388012	-232.71946973376	53.5888658731073	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
3.22961437950035	0.0141976833308711	1.62550892214521	-232.728662474809	53.7585968129326	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
3.39959408368458	0.0354425696690022	1.62972783990548	-232.738264796438	53.9283049502575	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
3.56957378786881	0.0566874560071332	1.63755795716094	-232.74888932797	54.0979518512603	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
3.73955349205303	0.0779323423452642	1.64899927391158	-232.761147974905	54.2674880117199	0	0	0	0	0	1.5	1.5	1.5	1.5	1.5	1.5
